!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_3aib__D_m	(R)-3-amino-2-methylpropanoate	m	0	C4H9NO2	CHEBI:16320									(R)-3-aminoisobutyric acid	C4H9NO2	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	QCHPKSFMDHPSNR-GSVOUGTGSA-N		CHEBI:16320	C01205		HMDB0002299;HMDB02299	LMFA01100049		Q27101849	5459822		4573585
M_3hc13isocoa_m	(S)-3-Hydroxy-11-methyldodecanoyl-CoA(4-)	m	-4	C34H56N7O18P3S							InChI=1S/C34H60N7O18P3S/c1-21(2)10-8-6-5-7-9-11-22(42)16-25(44)63-15-14-36-24(43)12-13-37-32(47)29(46)34(3,4)18-56-62(53,54)59-61(51,52)55-17-23-28(58-60(48,49)50)27(45)33(57-23)41-20-40-26-30(35)38-19-39-31(26)41/h19-23,27-29,33,42,45-46H,5-18H2,1-4H3,(H,36,43)(H,37,47)(H,51,52)(H,53,54)(H2,35,38,39)(H2,48,49,50)/p-4/t22-,23+,27+,28+,29-,33+/m0/s1	KDNYKTAISAIWBA-LBZMRERQSA-J		(S)-3-Hydroxy-11-methyldodecanoyl-CoA	C34H60N7O18P3S	InChI=1/C34H60N7O18P3S/c1-21(2)10-8-6-5-7-9-11-22(42)16-25(44)63-15-14-36-24(43)12-13-37-32(47)29(46)34(3,4)18-56-62(53,54)59-61(51,52)55-17-23-28(58-60(48,49)50)27(45)33(57-23)41-20-40-26-30(35)38-19-39-31(26)41/h19-23,27-29,33,42,45-46H,5-18H2,1-4H3,(H,36,43)(H,37,47)(H,51,52)(H,53,54)(H2,35,38,39)(H2,48,49,50)/t22-,23+,27+,28+,29-,33+/s2	KDNYKTAISAIWBA-AGRLXXKTNA-N											
M_3hc15isocoa_m	(S)-3-Hydroxy-13-methyltetradecanoyl-CoA(4-)	m	-4	C36H60N7O18P3S							InChI=1S/C36H64N7O18P3S/c1-23(2)12-10-8-6-5-7-9-11-13-24(44)18-27(46)65-17-16-38-26(45)14-15-39-34(49)31(48)36(3,4)20-58-64(55,56)61-63(53,54)57-19-25-30(60-62(50,51)52)29(47)35(59-25)43-22-42-28-32(37)40-21-41-33(28)43/h21-25,29-31,35,44,47-48H,5-20H2,1-4H3,(H,38,45)(H,39,49)(H,53,54)(H,55,56)(H2,37,40,41)(H2,50,51,52)/p-4/t24-,25+,29+,30+,31-,35+/m0/s1	LWXQJJYOZWNPDR-YHPPSIBPSA-J		(S)-3-Hydroxy-13-methyltetradecanoyl-CoA	C36H64N7O18P3S	InChI=1/C36H64N7O18P3S/c1-23(2)12-10-8-6-5-7-9-11-13-24(44)18-27(46)65-17-16-38-26(45)14-15-39-34(49)31(48)36(3,4)20-58-64(55,56)61-63(53,54)57-19-25-30(60-62(50,51)52)29(47)35(59-25)43-22-42-28-32(37)40-21-41-33(28)43/h21-25,29-31,35,44,47-48H,5-20H2,1-4H3,(H,38,45)(H,39,49)(H,53,54)(H,55,56)(H2,37,40,41)(H2,50,51,52)/t24-,25+,29+,30+,31-,35+/s2	LWXQJJYOZWNPDR-BDFNWWFBNA-N											
M_3hc17isocoa_m	(S)-3-Hydroxy-15-methylhexadecanoyl-CoA(4-)	m	-4	C38H64N7O18P3S							InChI=1S/C38H68N7O18P3S/c1-25(2)14-12-10-8-6-5-7-9-11-13-15-26(46)20-29(48)67-19-18-40-28(47)16-17-41-36(51)33(50)38(3,4)22-60-66(57,58)63-65(55,56)59-21-27-32(62-64(52,53)54)31(49)37(61-27)45-24-44-30-34(39)42-23-43-35(30)45/h23-27,31-33,37,46,49-50H,5-22H2,1-4H3,(H,40,47)(H,41,51)(H,55,56)(H,57,58)(H2,39,42,43)(H2,52,53,54)/p-4/t26-,27+,31+,32+,33-,37+/m0/s1	UXWUSXRGWGOULX-LEUMEZKXSA-J		(S)-3-Hydroxy-15-methylhexadecanoyl-CoA	C38H68N7O18P3S	InChI=1/C38H68N7O18P3S/c1-25(2)14-12-10-8-6-5-7-9-11-13-15-26(46)20-29(48)67-19-18-40-28(47)16-17-41-36(51)33(50)38(3,4)22-60-66(57,58)63-65(55,56)59-21-27-32(62-64(52,53)54)31(49)37(61-27)45-24-44-30-34(39)42-23-43-35(30)45/h23-27,31-33,37,46,49-50H,5-22H2,1-4H3,(H,40,47)(H,41,51)(H,55,56)(H,57,58)(H2,39,42,43)(H2,52,53,54)/t26-,27+,31+,32+,33-,37+/s2	UXWUSXRGWGOULX-XMPOKGFJNA-N											
M_3hc19isocoa_m	(S)-3-Hydroxy-17-methyloctadecanoyl-CoA(4-)	m	-4	C40H68N7O18P3S							InChI=1S/C40H72N7O18P3S/c1-27(2)16-14-12-10-8-6-5-7-9-11-13-15-17-28(48)22-31(50)69-21-20-42-30(49)18-19-43-38(53)35(52)40(3,4)24-62-68(59,60)65-67(57,58)61-23-29-34(64-66(54,55)56)33(51)39(63-29)47-26-46-32-36(41)44-25-45-37(32)47/h25-29,33-35,39,48,51-52H,5-24H2,1-4H3,(H,42,49)(H,43,53)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/p-3/t28-,29+,33+,34+,35-,39+/m0/s1	WOXOTWGGWCTWQY-BFNXGVQDSA-K		(S)-3-Hydroxy-17-methyloctadecanoyl-CoA	C40H72N7O18P3S	InChI=1/C40H72N7O18P3S/c1-27(2)16-14-12-10-8-6-5-7-9-11-13-15-17-28(48)22-31(50)69-21-20-42-30(49)18-19-43-38(53)35(52)40(3,4)24-62-68(59,60)65-67(57,58)61-23-29-34(64-66(54,55)56)33(51)39(63-29)47-26-46-32-36(41)44-25-45-37(32)47/h25-29,33-35,39,48,51-52H,5-24H2,1-4H3,(H,42,49)(H,43,53)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/t28-,29+,33+,34+,35-,39+/s2	WOXOTWGGWCTWQY-QBHMIPFSNA-N											
M_3hc9isocoa_m	(S)-3-Hydroxy-7-methyloctanoyl-CoA(4-)	m	-4	C30H48N7O18P3S							InChI=1S/C30H52N7O18P3S/c1-17(2)6-5-7-18(38)12-21(40)59-11-10-32-20(39)8-9-33-28(43)25(42)30(3,4)14-52-58(49,50)55-57(47,48)51-13-19-24(54-56(44,45)46)23(41)29(53-19)37-16-36-22-26(31)34-15-35-27(22)37/h15-19,23-25,29,38,41-42H,5-14H2,1-4H3,(H,32,39)(H,33,43)(H,47,48)(H,49,50)(H2,31,34,35)(H2,44,45,46)/p-4/t18-,19+,23+,24+,25-,29+/m0/s1	KEGRHRCIKYBVSA-UGDQNKSBSA-J		(S)-3-Hydroxy-7-methyloctanoyl-CoA	C30H52N7O18P3S	InChI=1/C30H52N7O18P3S/c1-17(2)6-5-7-18(38)12-21(40)59-11-10-32-20(39)8-9-33-28(43)25(42)30(3,4)14-52-58(49,50)55-57(47,48)51-13-19-24(54-56(44,45)46)23(41)29(53-19)37-16-36-22-26(31)34-15-35-27(22)37/h15-19,23-25,29,38,41-42H,5-14H2,1-4H3,(H,32,39)(H,33,43)(H,47,48)(H,49,50)(H2,31,34,35)(H2,44,45,46)/t18-,19+,23+,24+,25-,29+/s2	KEGRHRCIKYBVSA-RGACEJGPNA-N											
M_3hc11isocoa_m	(S)-3-Hydroxy-9-methyldecanoyl-CoA(4-)	m	-4	C32H52N7O18P3S							InChI=1S/C32H56N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-21,25-27,31,40,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/p-4/t20-,21+,25+,26+,27-,31+/m0/s1	JDUWMWJXDWDAGG-WKKRHPGJSA-J		(S)-3-Hydroxy-9-methyldecanoyl-CoA	C32H56N7O18P3S	InChI=1/C32H56N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-21,25-27,31,40,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/t20-,21+,25+,26+,27-,31+/s2	JDUWMWJXDWDAGG-APTLBWKDNA-N											
M_3hc7isocoa_m	(S)-3-Hydroxyl-5-methylhexanoyl-CoA(4-)	m	-4	C28H44N7O18P3S							InChI=1S/C28H48N7O18P3S/c1-15(2)9-16(36)10-19(38)57-8-7-30-18(37)5-6-31-26(41)23(40)28(3,4)12-50-56(47,48)53-55(45,46)49-11-17-22(52-54(42,43)44)21(39)27(51-17)35-14-34-20-24(29)32-13-33-25(20)35/h13-17,21-23,27,36,39-40H,5-12H2,1-4H3,(H,30,37)(H,31,41)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/p-4/t16-,17+,21+,22+,23-,27+/m0/s1	LSNDUFOIDVSJOB-ZORKKWTOSA-J		(S)-3-Hydroxyl-5-methylhexanoyl-CoA	C28H48N7O18P3S	InChI=1/C28H48N7O18P3S/c1-15(2)9-16(36)10-19(38)57-8-7-30-18(37)5-6-31-26(41)23(40)28(3,4)12-50-56(47,48)53-55(45,46)49-11-17-22(52-54(42,43)44)21(39)27(51-17)35-14-34-20-24(29)32-13-33-25(20)35/h13-17,21-23,27,36,39-40H,5-12H2,1-4H3,(H,30,37)(H,31,41)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/t16-,17+,21+,22+,23-,27+/s2	LSNDUFOIDVSJOB-WKAIJIIXNA-N											
M_c13isocoa_m	11-methyldodecanoyl-CoA(4-)	m	-4	C34H56N7O17P3S							InChI=1S/C34H60N7O17P3S/c1-22(2)12-10-8-6-5-7-9-11-13-25(43)62-17-16-36-24(42)14-15-37-32(46)29(45)34(3,4)19-55-61(52,53)58-60(50,51)54-18-23-28(57-59(47,48)49)27(44)33(56-23)41-21-40-26-30(35)38-20-39-31(26)41/h20-23,27-29,33,44-45H,5-19H2,1-4H3,(H,36,42)(H,37,46)(H,50,51)(H,52,53)(H2,35,38,39)(H2,47,48,49)/p-4/t23-,27-,28-,29+,33-/m0/s1	SAZRNJMTRRCRJX-VAFZQPSJSA-J		11-methyldodecanoyl-CoA	C34H60N7O17P3S	InChI=1/C34H60N7O17P3S/c1-22(2)12-10-8-6-5-7-9-11-13-25(43)62-17-16-36-24(42)14-15-37-32(46)29(45)34(3,4)19-55-61(52,53)58-60(50,51)54-18-23-28(57-59(47,48)49)27(44)33(56-23)41-21-40-26-30(35)38-20-39-31(26)41/h20-23,27-29,33,44-45H,5-19H2,1-4H3,(H,36,42)(H,37,46)(H,50,51)(H,52,53)(H2,35,38,39)(H2,47,48,49)/t23-,27-,28-,29+,33-/s2	SAZRNJMTRRCRJX-CUBDUGMWNA-N											
M_c13isocrn_c	11-methyldodecanoylcarnitine	c	0	C20H39NO4							InChI=1S/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3	WVSKAENGKYNHGM-UHFFFAOYSA-N		11-methyldodecanoylcarnitine	C20H39NO4	InChI=1S/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3	WVSKAENGKYNHGM-UHFFFAOYSA-N											
