!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:Old_ID	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_1alk2acglyc3p_c	1-alkyl-2-acyl-sn-glycero-3-phosphate(2-)	c	-2	C4H5O7PR2	CHEBI:73332				corrected to new lipid Ids	wimi	M_akac2gp_c			[O-]P([O-])(=O)OC[C@@H](CO[*])OC([*])=O	1-alkyl-2-acyl-sn-glycerol 3-phosphate	C4H7O7PR2			OP(O)(=O)OC[C@@H](CO[*])OC([*])=O	CHEBI:37296									
M_2acg3pe_c	2-acyl-sn-glycero-3-phosphoethanolamine	c	0	C6H13NO7PR	CHEBI:65213				corrected to new lipid Ids	wimi	M_2acg3pe_c			[NH3+]CCOP([O-])(=O)OC[C@@H](CO)OC([*])=O	2-acyl-sn-glycero-3-phosphoethanolamine	C6H13NO7PR			[NH3+]CCOP([O-])(=O)OC[C@@H](CO)OC([*])=O	CHEBI:65213									
M_2thexd_c	trans-hexadec-2-enal	c	0	C16H30O	CHEBI:17585							InChI=1S/C16H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h14-16H,2-13H2,1H3/b15-14+	KLJFYXOVGVXZKT-CCEZHUSRSA-N	[H]C(=O)\C=C\CCCCCCCCCCCCC	trans-hexadec-2-enal	C16H30O	InChI=1S/C16H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h14-16H,2-13H2,1H3/b15-14+	KLJFYXOVGVXZKT-CCEZHUSRSA-N	[H]C(=O)\C=C\CCCCCCCCCCCCC	CHEBI:19791;CHEBI:17585	C06123		HMDB0060482;HMDB60482	LMFA06000089		Q27102466	5280541		4444172
M_3dsphgn_c	3-Dehydrosphinganine	c	1	C18H38NO2	CHEBI:58299							InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/p+1/t17-/m0/s1	KBUNOSOGGAARKZ-KRWDZBQOSA-O	CCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO	3-dehydrosphinganine	C18H37NO2	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/t17-/m0/s1	KBUNOSOGGAARKZ-KRWDZBQOSA-N	CCCCCCCCCCCCCCCC(=O)[C@@H](N)CO	CHEBI:17862	C02934		HMDB01480;HMDB0001480	LMSP01020002		Q27073739	439853		388895
M_acp8_0_3o7me_m	3-Oxo-7-Methyl-octanoyl-[acp]	m	0	C9H15O2SR					corrected to systematic ID	wimi	M_7met3oxoctACP_m			CC(C)CCCC(=O)CC(=O)S*															
M_adgal_m	alpha-D-galactose	m	0	C6H12O6	CHEBI:28061							InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	alpha-D-galactose	C6H12O6	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	CHEBI:28260;CHEBI:28061;CHEBI:42741	C00984;C01582		HMDB0000143;HMDB00143			Q181381	439357		388480
M_adgal_n	alpha-D-galactose	n	0	C6H12O6	CHEBI:28061							InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	alpha-D-galactose	C6H12O6	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	CHEBI:28260;CHEBI:28061;CHEBI:42741	C00984;C01582		HMDB0000143;HMDB00143			Q181381	439357		388480
M_adnr_c	adenosine 5'-monophosphate(1-) residue	c	-1	C10H11N5O6P	CHEBI:74411									NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP([O-])(-*)=O)[C@@H](O-*)[C@H]1O															
M_akdhap_c	1-alkylglycerone 3-phosphate(2-)	c	-2	C3H4O6PR	CHEBI:73315				corrected formula	wimi	M_1alkdhap_c			[O-]P([O-])(=O)OCC(=O)CO[*]	1-alkylglycerone 3-phosphate	C3H6O6PR			OP(O)(=O)OCC(=O)CO[*]	CHEBI:17197									
M_alkgp_c	1-Alkyl-sn-glycerol 3-phosphate(2-)	c	-2	C3H6O6PR	CHEBI:58014				corrected charge	wimi				O[C@H](CO[*])COP([O-])([O-])=O		C3H8O6PR			O[C@H](CO[*])COP(O)(O)=O	CHEBI:17106									
